id,user_id,event_id,star_rating
373,UGQbMSfyfwdXDdciqkPKN7CEoJG2,36,4
375,gYaFKmEeNtRSkJ0gFSR0L8PR63h1,36,5
376,bcRfwdnM1aUvBTLsriZwe5flC013,36,2
379,E5UctELW1XNEldUhjWeHcd2qKov1,32,3
380,IKrGQkbDqOO0gUvTdGKagnFPbcv2,32,4
382,7s0mUdWnqSTV389ap46uoa8A7o63,32,4
385,5RnIQeqB57a9807ZcbLds7L1Ti03,32,3
386,aoTpA3mZ7ZfxL49xtM2vVJDJSIr2,32,5
388,5dId28L3q4SR8qp90bo74vxiAyh2,32,5
389,ehNVMqB1HtasgerYHk5HSmjyBx92,32,4
387,LytIZiWyFjdms3jRdMRG0awsHTM2,32,4
383,i5elHGk3rSdyPZFIWUYH94sXdWs2,32,5
400,Jxu4k7H4ggZvdwVzBJIZgQexMGm2,35,5
403,gliM5awrWBY4uknFNictZHZE3Vw2,35,4
402,fA4JO8k6MQWcpQspnUxDEwWQ6o52,35,5
406,5rtIxjflfGMHUxcESRMSIgcIm653,35,4
396,Z0RTfNgEWNRBWAzXKd56bNrYJ3s2,35,4
